,campaign_id,chain_id,start_date,end_date,format,device,height,width,iremoteid,days,start_day,end_day,shop,budget
3233,16540,11,2021-09-16,2021-10-11,butterfly,DESKTOP,486.0,532.0,['C176495'],27.0,4.0,1.0,0.0,8835.427001953125
6054,33493,11,2021-07-22,2021-08-30,butterfly,DESKTOP,486.0,531.0,['C165844'],41.0,4.0,1.0,0.0,12617.029296875
5160,28109,12,2021-08-18,2021-08-30,tg,DESKTOP,298.0,796.0,['C170118'],14.0,3.0,1.0,0.0,8844.853759765625
3060,15540,12,2021-04-21,2021-05-14,butterfly,DESKTOP,298.0,398.0,['C143255'],25.0,3.0,5.0,0.0,8860.069274902344
7752,30619,11,2019-09-30,2019-11-13,showcase,DESKTOP,472.0,1061.0,['32997'],46.0,1.0,3.0,0.0,105142.85714285714
5401,29539,7,2021-01-16,2021-03-24,butterfly,DESKTOP,393.0,576.0,['119763'],69.0,6.0,3.0,0.0,12742.257247924805
5748,31724,11,2021-09-06,2021-10-11,butterfly,DESKTOP,486.0,531.0,['C175230'],37.0,1.0,1.0,0.0,12198.22296142578
7233,12753,11,2020-11-02,2020-12-30,showcase,DESKTOP,472.0,1047.0,['103764'],60.0,1.0,3.0,0.0,137142.85714285716
7080,7661,11,2020-10-15,2020-12-04,showcase,DESKTOP,472.0,1047.0,['99197'],52.0,4.0,5.0,0.0,118857.14285714286
6823,398,11,2020-06-18,2020-07-12,showcase,DESKTOP,472.0,1061.0,"['66602', '66603']",26.0,4.0,7.0,0.0,59428.57142857143
2969,15028,12,2019-07-30,2019-07-30,banner,DESKTOP,200.0,995.0,['32292'],2.0,2.0,2.0,0.0,1531.399658203125
824,2334,12,2019-05-08,2019-06-24,banner,DESKTOP,200.0,995.0,['26854'],49.0,3.0,1.0,0.0,10963.920471191406
2868,14379,11,2021-10-01,2021-10-01,butterfly,DESKTOP,495.0,531.0,['C180373'],2.0,5.0,5.0,0.0,1333.207763671875
5252,28677,10,2020-01-28,2020-02-15,butterfly,DESKTOP,420.0,574.0,['C44330'],20.0,2.0,6.0,0.0,13688.602294921877
7574,24909,11,2021-03-01,2021-03-10,showcase,DESKTOP,438.0,266.0,['129941'],11.0,1.0,3.0,0.0,25142.857142857145
3628,18829,7,2021-01-18,2021-01-18,butterfly,DESKTOP,429.0,576.0,['119591'],2.0,1.0,1.0,0.0,833.3123168945312
346,693,12,2020-03-01,2020-04-25,tg,DESKTOP,298.0,796.0,"['C48240', 'C48241', 'C54519']",20.0,7.0,6.0,0.0,13276.5380859375
5192,28246,12,2020-08-24,2020-09-05,tg,DESKTOP,298.0,796.0,['C83440'],14.0,1.0,6.0,0.0,10316.138061523438
1034,3668,11,2021-04-12,2021-04-14,stoprayon,DESKTOP,145.0,1063.0,['entretien-et-nettoyage/insecticides'],4.0,1.0,3.0,0.0,2628.866455078125
1549,6702,7,2021-01-14,2021-01-21,butterfly,DESKTOP,394.0,576.0,['120005'],9.0,4.0,4.0,0.0,3524.2242736816406
7660,27375,11,2021-01-11,2021-01-23,showcase,DESKTOP,472.0,1047.0,['119445'],14.0,1.0,6.0,0.0,32000.0
783,2053,11,2021-08-05,2021-08-06,butterfly,DESKTOP,486.0,532.0,['C167372'],3.0,4.0,5.0,0.0,1999.8116455078125
3819,20067,11,2019-07-08,2019-07-13,butterfly,DESKTOP,486.0,293.0,['C25604'],7.0,1.0,6.0,0.0,5588.684814453125
5522,30292,11,2021-05-24,2021-05-27,butterfly,DESKTOP,498.0,532.0,['C147502'],5.0,1.0,4.0,0.0,3328.228759765625
6098,33769,12,2019-11-21,2019-11-27,banner,DESKTOP,200.0,1195.0,['38034'],8.0,4.0,3.0,0.0,5113.2529296875
1866,8671,7,2021-08-22,2021-11-26,butterfly,DESKTOP,367.0,564.0,['170991'],98.0,7.0,5.0,0.0,17304.844665527344
5195,28262,12,2021-09-27,2021-10-25,butterfly,DESKTOP,298.0,398.0,['C172093'],30.0,1.0,1.0,0.0,12176.422119140623
2859,14347,12,2020-09-28,2020-10-09,butterfly,DESKTOP,298.0,398.0,['C93526'],13.0,1.0,5.0,0.0,7590.701110839844
7683,28192,11,2021-06-24,2021-06-28,showcase,DESKTOP,494.0,1063.0,['159334'],6.0,4.0,1.0,0.0,13714.285714285714
3110,15869,11,2020-07-09,2020-07-23,butterfly,DESKTOP,486.0,278.0,['C70146'],16.0,4.0,4.0,0.0,8388.314453125
716,1701,12,2021-09-06,2021-10-01,tg,DESKTOP,298.0,796.0,['C173629'],27.0,1.0,5.0,0.0,10495.739959716797
7581,25063,11,2019-10-02,2019-10-27,showcase,DESKTOP,472.0,1061.0,['34374'],27.0,3.0,7.0,0.0,61714.28571428572
4455,23838,12,2020-12-09,2020-12-16,butterfly,DESKTOP,298.0,398.0,['C113065'],9.0,3.0,3.0,0.0,5425.6212158203125
6258,34752,10,2019-05-06,2019-05-27,butterfly,DESKTOP,420.0,574.0,['C26235'],23.0,1.0,1.0,0.0,7668.569763183594
660,1345,7,2020-09-01,2020-09-28,butterfly,DESKTOP,350.0,492.0,['C75209'],29.0,2.0,1.0,0.0,9637.870513916016
1245,4932,12,2021-05-11,2021-05-29,tg,DESKTOP,298.0,796.0,['C146760'],20.0,2.0,6.0,0.0,12197.161865234377
403,778,12,2020-08-12,2020-08-28,butterfly,DESKTOP,298.0,398.0,"['C80833', 'C82955']",18.0,3.0,5.0,0.0,7706.063232421875
7420,19142,11,2020-10-03,2020-11-07,showcase,DESKTOP,472.0,1047.0,['95312'],37.0,6.0,6.0,0.0,84571.42857142858
6007,33228,12,2021-02-01,2021-03-07,tg,DESKTOP,298.0,796.0,['C124079'],36.0,1.0,7.0,0.0,10851.581909179688
6715,23823,10,2021-06-15,2021-06-28,banner,DESKTOP,125.0,1200.0,['C153362'],15.0,2.0,1.0,0.0,21428.57142857143
2349,11271,12,2021-08-24,2021-09-12,tg,DESKTOP,298.0,597.0,['C172105'],21.0,2.0,7.0,0.0,10789.131958007812
6956,3899,11,2021-09-16,2021-09-28,showcase,DESKTOP,494.0,1063.0,['176607'],14.0,4.0,2.0,0.0,32000.0
4387,23418,11,2021-06-29,2021-07-12,butterfly,DESKTOP,498.0,531.0,['C155841'],15.0,2.0,1.0,0.0,6433.26416015625
2680,13219,7,2020-11-05,2020-11-16,butterfly,DESKTOP,419.0,576.0,['103736'],13.0,4.0,1.0,0.0,5336.2159423828125
1333,5453,12,2021-07-09,2021-10-25,tg,DESKTOP,298.0,796.0,['C162155'],110.0,5.0,1.0,0.0,18640.340576171875
3424,17579,7,2019-11-25,2019-12-08,butterfly,DESKTOP,350.0,494.0,['C37571'],15.0,1.0,7.0,0.0,4254.319152832031
4019,21325,12,2021-06-21,2021-07-11,tg,DESKTOP,298.0,796.0,['C154547'],22.0,1.0,7.0,0.0,9610.806884765623
1417,5947,12,2021-06-07,2021-06-18,butterfly,DESKTOP,298.0,398.0,['C154986'],13.0,1.0,5.0,0.0,7590.701110839844
3267,16744,12,2020-10-12,2020-10-29,butterfly,DESKTOP,298.0,398.0,['C95919'],19.0,1.0,4.0,0.0,8889.08285522461
2796,13963,11,2021-05-26,2021-06-20,butterfly,DESKTOP,498.0,532.0,['C152106'],27.0,3.0,7.0,0.0,8851.815032958984
6313,35118,12,2021-01-09,2021-01-24,butterfly,DESKTOP,298.0,398.0,['C119311'],17.0,6.0,7.0,0.0,9400.159545898438
962,3126,12,2020-11-09,2020-11-29,tg,DESKTOP,298.0,796.0,['C102958'],22.0,1.0,7.0,0.0,9610.806884765623
6957,3914,11,2021-09-18,2021-10-11,showcase,DESKTOP,494.0,1063.0,['178730'],25.0,6.0,1.0,0.0,57142.857142857145
109,132,10,2020-08-28,2020-09-20,butterfly,DESKTOP,420.0,574.0,"['C85579', 'C85584']",25.0,5.0,7.0,0.0,8196.125030517578
6637,36950,7,2020-12-03,2020-12-04,butterfly,DESKTOP,394.0,576.0,['106999'],3.0,4.0,5.0,0.0,1174.7414245605469
3518,18145,11,2020-04-08,2020-05-26,butterfly,DESKTOP,486.0,277.0,['C53933'],50.0,3.0,2.0,0.0,11459.819793701172
7107,8624,11,2021-03-01,2021-04-05,showcase,DESKTOP,438.0,266.0,['130761'],37.0,1.0,1.0,0.0,84571.42857142858
4833,26140,12,2020-03-27,2020-04-11,banner,DESKTOP,200.0,995.0,['52411'],17.0,5.0,6.0,0.0,10346.84912109375
2643,12997,12,2020-11-07,2020-12-28,tg,DESKTOP,298.0,597.0,['C101162'],53.0,6.0,1.0,0.0,13476.611877441406
1482,6360,12,2019-08-19,2019-08-27,banner,DESKTOP,200.0,995.0,['32937'],10.0,1.0,2.0,0.0,6887.864990234375
5743,31693,10,2020-07-09,2020-07-17,butterfly,DESKTOP,420.0,574.0,['C69357'],10.0,4.0,5.0,0.0,6666.038818359375
6641,36988,11,2020-08-31,2020-09-23,butterfly,DESKTOP,486.0,277.0,['C80184'],25.0,1.0,3.0,0.0,6817.168426513672
6114,33885,11,2020-10-25,2020-10-25,butterfly,DESKTOP,488.0,265.0,['CB6479'],2.0,7.0,7.0,0.0,1578.1741943359375
5627,30983,7,2020-07-21,2020-09-25,butterfly,DESKTOP,350.0,492.0,['C74850'],68.0,2.0,5.0,0.0,13110.466613769531
7715,29419,11,2019-12-02,2019-12-21,showcase,DESKTOP,472.0,1061.0,['38607'],21.0,1.0,6.0,0.0,48000.0
3171,16195,12,2021-11-15,2021-11-21,tg,DESKTOP,298.0,597.0,['C175698'],8.0,1.0,7.0,0.0,5056.19140625
2885,14474,12,2020-10-25,2021-01-17,banner,DESKTOP,200.0,995.0,['53939'],86.0,7.0,7.0,0.0,24536.10076904297
7794,32129,11,2020-11-02,2020-11-30,showcase,DESKTOP,472.0,1047.0,['103212'],30.0,1.0,1.0,0.0,68571.42857142858
2432,11930,12,2020-09-02,2020-09-10,tg,DESKTOP,298.0,796.0,['C86830'],10.0,3.0,4.0,0.0,6112.759399414063
1717,7729,11,2021-07-13,2021-07-26,butterfly,DESKTOP,486.0,532.0,['C164411'],15.0,2.0,1.0,0.0,6433.26416015625
7722,29745,11,2021-04-15,2021-04-27,showcase,DESKTOP,438.0,1063.0,['140271'],14.0,4.0,2.0,0.0,32000.0
2416,11844,7,2019-12-02,2019-12-10,butterfly,DESKTOP,350.0,494.0,['C38603'],10.0,1.0,2.0,0.0,4757.201843261719
2649,13030,12,2020-09-02,2020-09-20,tg,DESKTOP,298.0,796.0,['C87069'],20.0,3.0,7.0,0.0,8613.536987304688
7665,27495,11,2021-09-22,2021-09-29,showcase,DESKTOP,494.0,1063.0,['179492'],9.0,3.0,3.0,0.0,20571.42857142857
4599,24696,11,2021-04-03,2021-07-28,butterfly,DESKTOP,486.0,531.0,['C139342'],118.0,6.0,3.0,0.0,24062.16186523437
2697,13331,12,2019-05-14,2019-05-26,banner,DESKTOP,200.0,995.0,"['edbd25743198646239577c73d7fdabac.gif"") no-repeat scroll 50% 50% ']",14.0,2.0,7.0,0.0,9381.358642578123
7220,12225,11,2021-05-16,2021-06-07,showcase,DESKTOP,494.0,1063.0,['149022'],24.0,7.0,1.0,0.0,54857.142857142855
2987,15101,10,2021-07-03,2021-09-04,butterfly,DESKTOP,407.0,555.0,['C161174'],65.0,6.0,6.0,0.0,20927.542266845703
2604,12811,10,2020-05-20,2020-06-29,butterfly,DESKTOP,420.0,574.0,['C59094'],42.0,3.0,1.0,0.0,12924.76171875
4361,23260,7,2020-09-01,2020-10-03,butterfly,DESKTOP,350.0,492.0,['C75211'],34.0,2.0,6.0,0.0,9971.787658691406
6308,35101,11,2021-10-02,2021-10-11,butterfly,DESKTOP,486.0,532.0,['C181597'],11.0,6.0,1.0,0.0,8673.282470703125
5326,29117,12,2021-01-08,2021-02-20,butterfly,DESKTOP,298.0,398.0,['C117418'],45.0,5.0,6.0,0.0,12886.081237792969
2193,10344,11,2019-12-16,2019-12-25,butterfly,DESKTOP,486.0,277.0,['C37570'],11.0,1.0,3.0,0.0,7229.382751464844
4489,24064,11,2020-10-26,2020-10-26,butterfly,DESKTOP,486.0,273.0,['C94053'],2.0,1.0,1.0,0.0,1435.8919677734375
1217,4732,11,2021-09-02,2021-09-02,butterfly,DESKTOP,509.0,531.0,['C173933'],2.0,4.0,4.0,0.0,1318.935546875
3303,16886,12,2020-11-02,2020-11-12,banner,DESKTOP,200.0,995.0,['103163'],12.0,1.0,4.0,0.0,7845.164794921875
2657,13049,12,2020-05-04,2020-05-06,tg,DESKTOP,298.0,597.0,['C56511'],4.0,1.0,3.0,0.0,2436.09912109375
7493,22216,11,2020-10-09,2020-12-01,showcase,DESKTOP,472.0,1047.0,['96381'],55.0,5.0,2.0,0.0,125714.28571428572
7619,26241,11,2021-06-29,2021-07-07,showcase,DESKTOP,494.0,1063.0,['158837'],10.0,2.0,3.0,0.0,22857.14285714286
1538,6652,12,2021-01-25,2021-02-14,butterfly,DESKTOP,298.0,398.0,['C122588'],22.0,1.0,7.0,0.0,8991.499633789062
3453,17747,11,2020-07-18,2020-09-27,butterfly,DESKTOP,488.0,270.0,['CB9604'],73.0,6.0,7.0,0.0,20822.90692138672
2726,13486,12,2021-05-11,2021-05-17,tg,DESKTOP,298.0,597.0,['C146812'],8.0,2.0,1.0,0.0,5648.9072265625
7039,6337,11,2020-10-09,2020-12-30,showcase,DESKTOP,472.0,1047.0,['97030'],84.0,5.0,3.0,0.0,192000.0
6842,460,11,2020-09-28,2020-10-28,showcase,DESKTOP,472.0,1047.0,"['93941', '93942', '94816']",32.0,1.0,3.0,0.0,73142.85714285714
3610,18747,12,2020-11-02,2020-11-14,tg,DESKTOP,298.0,398.0,['C103617'],14.0,1.0,6.0,0.0,10316.138061523438
2664,13106,10,2021-09-04,2021-09-22,butterfly,DESKTOP,399.0,555.0,['C173531'],20.0,6.0,3.0,0.0,11851.053466796877
975,3211,11,2021-06-03,2021-06-16,butterfly,DESKTOP,498.0,531.0,['C152119'],15.0,4.0,3.0,0.0,4275.953979492188
2284,10870,12,2019-07-02,2019-07-21,banner,DESKTOP,200.0,995.0,['31149'],21.0,2.0,7.0,0.0,10960.482421875
2861,14351,11,2020-05-06,2020-05-10,butterfly,DESKTOP,488.0,270.0,['CB8493'],6.0,3.0,7.0,0.0,4274.249267578125
6492,36078,11,2021-05-25,2021-05-31,stoprayon,DESKTOP,145.0,1063.0,['tampon-en-coton-biologique'],8.0,2.0,1.0,0.0,6630.34619140625
4255,22628,10,2021-05-19,2021-05-20,butterfly,DESKTOP,405.0,555.0,['C144620'],3.0,3.0,4.0,0.0,1978.4033203125
7588,25246,11,2021-07-01,2021-07-12,showcase,DESKTOP,494.0,1063.0,['161150'],13.0,4.0,1.0,0.0,29714.28571428572
4953,26898,12,2021-09-06,2021-09-27,butterfly,DESKTOP,298.0,398.0,['C173989'],23.0,1.0,1.0,0.0,9335.256958007812
3260,16694,12,2020-09-22,2020-09-22,butterfly,DESKTOP,298.0,398.0,['C92202'],2.0,2.0,2.0,0.0,1458.780029296875
5278,28862,12,2021-06-01,2021-06-11,banner,DESKTOP,200.0,995.0,['153032'],12.0,2.0,5.0,0.0,8365.478759765625
4807,25954,12,2021-01-13,2021-01-23,butterfly,DESKTOP,298.0,398.0,['C119822'],12.0,3.0,6.0,0.0,8663.230224609375
7709,29300,11,2021-06-18,2021-07-04,showcase,DESKTOP,494.0,1063.0,['155715'],18.0,5.0,7.0,0.0,41142.857142857145
3576,18509,12,2021-09-14,2021-09-26,tg,DESKTOP,298.0,398.0,['C171230'],14.0,2.0,7.0,0.0,10047.666015625
5081,27622,7,2021-08-19,2021-08-21,butterfly,DESKTOP,368.0,564.0,['170100'],4.0,4.0,6.0,0.0,1735.4205322265625
4358,23237,10,2020-05-25,2020-06-15,butterfly,DESKTOP,420.0,574.0,['C48557'],23.0,1.0,1.0,0.0,7668.569763183594
1875,8716,12,2020-11-22,2020-12-05,tg,DESKTOP,298.0,398.0,['C99409'],15.0,7.0,6.0,0.0,8576.145629882812
1702,7644,11,2021-07-30,2021-08-01,butterfly,DESKTOP,486.0,531.0,['C167346'],4.0,5.0,7.0,0.0,2849.49951171875
7483,21771,11,2021-06-12,2021-09-12,showcase,DESKTOP,494.0,1063.0,['156570'],94.0,6.0,7.0,0.0,214857.14285714287
1328,5422,7,2021-09-10,2021-09-10,butterfly,DESKTOP,353.0,564.0,['161504'],2.0,5.0,5.0,0.0,783.1609497070312
7748,30508,11,2021-04-19,2021-05-27,showcase,DESKTOP,438.0,1063.0,['143298'],40.0,1.0,4.0,0.0,91428.57142857143
3187,16277,12,2021-10-02,2021-10-15,tg,DESKTOP,298.0,597.0,['C172098'],15.0,6.0,5.0,0.0,6412.940368652344
6392,35460,11,2019-05-08,2019-05-19,butterfly,DESKTOP,489.0,293.0,['C24711'],13.0,3.0,7.0,0.0,9260.873413085938
2377,11486,11,2021-07-24,2021-09-29,butterfly,DESKTOP,486.0,531.0,['C164458'],69.0,6.0,3.0,0.0,15449.723922729492
309,633,12,2020-05-10,2020-05-17,tg,DESKTOP,298.0,796.0,"['C48271', 'C48274']",9.0,7.0,7.0,0.0,6323.02294921875
4245,22595,12,2021-02-01,2021-02-28,butterfly,DESKTOP,298.0,398.0,['C123741'],29.0,1.0,7.0,0.0,11852.43133544922
4037,21458,12,2019-05-14,2019-05-26,banner,DESKTOP,200.0,995.0,"['a96e173ab72d91b37b7537045064d90d.gif"") no-repeat scroll 50% 50% ']",14.0,2.0,7.0,0.0,9381.358642578123
5001,27136,12,2021-09-26,2021-11-07,banner,DESKTOP,200.0,1393.0,['174004'],44.0,7.0,7.0,0.0,13344.736206054688
1402,5867,12,2020-04-25,2020-05-01,butterfly,DESKTOP,298.0,398.0,['C54903'],8.0,6.0,5.0,0.0,5235.47412109375
1583,6906,12,2020-08-12,2020-08-23,banner,DESKTOP,200.0,995.0,['81828'],13.0,3.0,7.0,0.0,8608.02490234375
5460,29939,11,2021-05-03,2021-07-14,butterfly,DESKTOP,486.0,532.0,['C146701'],74.0,1.0,3.0,0.0,11349.740966796877
3547,18314,11,2020-10-06,2020-10-22,butterfly,DESKTOP,486.0,273.0,['C87565'],18.0,2.0,4.0,0.0,10932.497314453123
6862,507,11,2020-06-19,2020-08-25,showcase,DESKTOP,472.0,1061.0,['61899'],69.0,5.0,2.0,0.0,157714.2857142857
3113,15885,12,2020-06-21,2020-07-01,butterfly,DESKTOP,298.0,398.0,['C62962'],12.0,7.0,3.0,0.0,8154.708251953125
4267,22714,12,2020-04-01,2020-04-18,butterfly,DESKTOP,298.0,398.0,['C52636'],19.0,3.0,6.0,0.0,10874.237854003906
3828,20105,11,2019-09-29,2019-10-12,butterfly,DESKTOP,488.0,270.0,['CB5354'],15.0,7.0,6.0,0.0,7544.141235351562
5170,28145,12,2021-04-26,2021-05-23,butterfly,DESKTOP,298.0,398.0,['C143960'],29.0,1.0,7.0,0.0,11852.43133544922
5735,31649,11,2021-05-07,2021-05-31,butterfly,DESKTOP,496.0,532.0,['C146248'],26.0,5.0,1.0,0.0,8508.18896484375
3946,20812,11,2019-07-30,2019-08-05,shop,DESKTOP,153.0,1104.0,['100ans-detes-rafraichissants-coca-cola'],8.0,2.0,1.0,1.0,4982.66650390625
5658,31157,10,2019-11-21,2019-12-03,butterfly,DESKTOP,420.0,574.0,['C36760'],14.0,4.0,2.0,0.0,5166.97412109375
1459,6172,11,2019-08-21,2019-08-21,butterfly,DESKTOP,488.0,270.0,['CB4770'],2.0,3.0,3.0,0.0,1302.0772705078125
2628,12924,11,2021-08-16,2021-09-02,butterfly,DESKTOP,497.0,531.0,['C153280'],19.0,1.0,4.0,0.0,10078.505004882812
2914,14667,12,2021-04-26,2021-05-02,banner,DESKTOP,200.0,995.0,['144663'],8.0,1.0,7.0,0.0,5346.669921875
1729,7782,7,2020-04-25,2020-04-29,butterfly,DESKTOP,350.0,494.0,['C55646'],6.0,6.0,3.0,0.0,2799.2471923828125
3695,19263,12,2020-07-08,2020-07-10,banner,DESKTOP,200.0,1195.0,['71004'],4.0,3.0,5.0,0.0,2456.127685546875
3225,16495,12,2020-04-20,2020-05-09,banner,DESKTOP,200.0,995.0,['55394'],21.0,1.0,6.0,0.0,11363.191772460938
361,714,12,2020-06-07,2020-06-17,tg,DESKTOP,298.0,796.0,['C62861'],12.0,7.0,3.0,0.0,8154.708251953125
2845,14267,12,2021-04-09,2021-04-25,banner,DESKTOP,200.0,995.0,['141235'],18.0,5.0,7.0,0.0,9225.869018554688
1726,7770,7,2021-10-29,2021-12-09,butterfly,DESKTOP,351.0,564.0,['169635'],43.0,5.0,4.0,0.0,6860.933578491211
7160,10359,11,2020-09-28,2020-11-09,showcase,DESKTOP,472.0,1047.0,['95326'],44.0,1.0,1.0,0.0,100571.42857142858
6913,2266,11,2021-09-04,2021-09-28,showcase,DESKTOP,494.0,1063.0,['175168'],26.0,6.0,2.0,0.0,59428.57142857143
908,2815,12,2021-05-24,2021-06-27,banner,DESKTOP,200.0,995.0,['146669'],36.0,1.0,7.0,0.0,12158.736328125
6732,30463,10,2021-06-26,2021-06-26,banner,DESKTOP,125.0,1200.0,['C153754'],2.0,6.0,6.0,0.0,2857.1428571428573
2592,12762,11,2021-07-07,2021-08-28,butterfly,DESKTOP,486.0,531.0,['C162946'],54.0,3.0,6.0,0.0,15219.684448242188
520,929,12,2021-04-07,2021-04-15,butterfly,DESKTOP,298.0,398.0,"['C140135', 'C140140']",10.0,3.0,4.0,0.0,6112.759399414063
5603,30781,12,2021-03-12,2021-03-18,tg,DESKTOP,298.0,796.0,['C134244'],8.0,5.0,4.0,0.0,4890.20751953125
6973,4378,11,2021-02-08,2021-03-16,showcase,DESKTOP,438.0,266.0,['126406'],38.0,1.0,2.0,0.0,86857.14285714286
4406,23551,12,2020-08-12,2020-08-31,banner,DESKTOP,200.0,995.0,['78637'],21.0,3.0,1.0,0.0,9156.264678955078
2235,10609,11,2021-05-06,2021-06-29,butterfly,DESKTOP,486.0,531.0,['C146903'],56.0,4.0,2.0,0.0,14682.294921875
239,489,11,2020-11-03,2020-11-22,butterfly,DESKTOP,486.0,273.0,"['C103680', 'C103682']",21.0,2.0,7.0,0.0,8629.662506103516
992,3377,11,2021-06-28,2021-07-20,butterfly,DESKTOP,486.0,531.0,['C160233'],24.0,1.0,2.0,0.0,8560.62451171875
7432,19633,11,2021-05-19,2021-07-06,showcase,DESKTOP,494.0,1063.0,['148013'],50.0,3.0,2.0,0.0,114285.71428571428
4170,22233,12,2021-01-18,2021-01-22,butterfly,DESKTOP,298.0,398.0,['C119315'],6.0,1.0,5.0,0.0,3503.4005126953125
6446,35812,12,2021-01-22,2021-01-29,banner,DESKTOP,200.0,995.0,['121068'],9.0,5.0,5.0,0.0,5526.287292480469
5794,31969,12,2020-11-23,2020-12-10,banner,DESKTOP,200.0,995.0,['107443'],19.0,1.0,4.0,0.0,9578.970489501951
